,scientific_name,common_names,occurrence,nativeness,abundance,seasonality
4519,Vermivora chrysoptera,Golden-Winged Warbler,Present,Native,Rare,Migratory
4520,Vermivora crissalis,Colima Warbler,Present,Native,Common,Breeder
4521,Vermivora peregrina,Tennessee Warbler,Present,Native,Rare,Migratory
4522,Vermivora pinus,Blue-Winged Warbler,Present,Native,Rare,Migratory
4523,Vermivora ruficapilla,Nashville Warbler,Present,Native,Common,Migratory
4524,Wilsonia canadensis,Canada Warbler,Present,Native,Rare,Migratory
4525,Wilsonia citrina,Hooded Warbler,Present,Native,Uncommon,Migratory
4526,Wilsonia pusilla,Wilson's Warbler,Present,Native,Common,Migratory
4527,Passer domesticus,House Sparrow,Present,Not Native,Common,Breeder
4528,Peucedramus taeniatus,Olive Warbler,Present,Native,Occasional,Vagrant
4529,Polioptila caerulea,Blue-Gray Gnatcatcher,Present,Native,Abundant,Breeder
4530,Polioptila melanura,Black-Tailed Gnatcatcher,Present,Native,Abundant,Breeder
4531,Phainopepla nitens,Phainopepla,Present,Native,Uncommon,Breeder
4532,Regulus calendula,Ruby-Crowned Kinglet,Present,Native,Abundant,Resident
4533,Regulus satrapa,Golden-Crowned Kinglet,Present,Native,Rare,Resident
4534,Auriparus flaviceps,Verdin,Present,Native,Common,Breeder
4535,Sitta canadensis,Red-Breasted Nuthatch,Present,Native,Rare,Migratory
4536,Sitta carolinensis,White-Breasted Nuthatch,Present,Native,Uncommon,Breeder
4537,Sitta pygmaea,Pygmy Nuthatch,Present,Native,Occasional,Vagrant
4538,Sturnus vulgaris,European Starling,Present,Not Native,Rare,Resident
4539,Campylorhynchus brunneicapillus,Cactus Wren,Present,Native,Abundant,Breeder
4540,Catherpes mexicanus,Canyon Wren,Present,Native,Common,Breeder
4541,Cistothorus palustris,Marsh Wren,Present,Native,Common,Resident
4542,Cistothorus platensis,Sedge Wren,Present,Native,Occasional,Vagrant
4543,Salpinctes obsoletus,Rock Wren,Present,Native,Common,Breeder
4544,Thryomanes bewickii,Bewick's Wren,Present,Native,Common,Breeder
4545,Thryothorus ludovicianus,Carolina Wren,Present,Native,Uncommon,Resident
4546,Troglodytes aedon,House Wren,Present,Native,Common,Migratory
4547,Troglodytes troglodytes,Winter Wren,Present,Native,Rare,Resident
4548,Catharus fuscescens,Veery,Present,Native,Occasional,Migratory
4549,Catharus guttatus,Hermit Thrush,Present,Native,Common,Migratory
4550,Catharus minimus,Gray-Cheeked Thrush,Present,Native,Rare,Migratory
4551,Catharus ustulatus,Swainson's Thrush,Present,Native,Uncommon,Migratory
4552,Hylocichla mustelina,Wood Thrush,Present,Native,Rare,Migratory
4553,Ixoreus naevius,Varied Thrush,Present,Native,Rare,Vagrant
