,scientific_name,common_names,occurrence,nativeness,abundance,seasonality
42081,Accipiter cooperii,Cooper's Hawk,Present,Native,Common,Breeder
42082,Accipiter gentilis,Northern Goshawk,Present,Native,Common,Breeder
42083,Accipiter striatus,Sharp-Shinned Hawk,Present,Native,Common,Breeder
42084,Aquila chrysaetos,Golden Eagle,Present,Native,Uncommon,Breeder
42085,Buteo albonotatus,Zone-Tailed Hawk,Present,Native,Common,Breeder
42086,Buteo jamaicensis,Red-Tailed Hawk,Present,Native,Common,Breeder
42087,Buteo lagopus,Rough-Legged Hawk,Present,Native,Rare,"Migratory, Winter"
42088,Buteo lineatus,Red-Shouldered Hawk,Present,Native,Occasional,Vagrant
42089,Buteo platypterus,Broad-Winged Hawk,Present,Native,Rare,Migratory
42090,Buteo regalis,Ferruginous Hawk,Present,Native,Uncommon,"Breeder, Winter"
42091,Buteo swainsoni,Swainson's Hawk,Present,Native,Uncommon,Breeder
42092,Buteogallus anthracinus,"Common Black Hawk, Common Black-Hawk",Present,Native,Occasional,Vagrant
42093,Circus cyaneus,Northern Harrier,Present,Native,Uncommon,Resident
42094,Haliaeetus leucocephalus,Bald Eagle,Present,Native,Uncommon,"Migratory, Winter"
42095,Cathartes aura,Turkey Vulture,Present,Native,Common,"Breeder, Winter"
42096,Gymnogyps californianus,California Condor,Present,Native,Common,Breeder
42097,Pandion haliaetus,Osprey,Present,Native,Common,"Migratory, Winter"
42098,Aix sponsa,Wood Duck,Present,Native,Occasional,Migratory
42099,Alopochen aegyptiaca,Egyptian Goose,Not Present,Not Native,No Data,No Data
42100,Anas acuta,Northern Pintail,Present,Native,Uncommon,"Migratory, Winter"
42101,Anas americana,American Wigeon,Present,Native,Abundant,"Migratory, Winter"
42102,Anas clypeata,Northern Shoveler,Present,Native,Uncommon,Migratory
42103,Anas crecca,"Eurasian Teal, Green-Winged Teal",Present,Native,Common,"Migratory, Winter"
42104,Anas cyanoptera,Cinnamon Teal,Present,Native,Uncommon,Migratory
42105,Anas discors,Blue-Winged Teal,Present,Native,Uncommon,Migratory
42106,Anas penelope,Eurasian Wigeon,Present,Unknown,Occasional,Vagrant
42107,Anas platyrhynchos,Mallard,Present,Native,Common,Breeder
42108,Anas strepera,Gadwall,Present,Native,Abundant,Winter
42109,Anser albifrons,Greater White-Fronted Goose,Present,Native,Occasional,Vagrant
42110,Aythya affinis,Lesser Scaup,Present,Native,Abundant,Winter
42111,Aythya americana,Redhead,Present,Native,Common,"Migratory, Winter"
42112,Aythya collaris,Ring-Necked Duck,Present,Native,Common,"Migratory, Winter"
42113,Aythya marila,Greater Scaup,Present,Unknown,Occasional,"Resident, Winter"
42114,Aythya valisineria,Canvasback,Present,Native,Uncommon,"Migratory, Winter"
42115,Branta canadensis,Canada Goose,Present,Native,Common,"Breeder, Winter"
42116,Branta hutchinsii,Cackling Goose,Present,Native,Occasional,Vagrant
42117,Bucephala albeola,Bufflehead,Present,Native,Abundant,"Migratory, Winter"
42118,Bucephala clangula,Common Goldeneye,Present,Native,Abundant,"Migratory, Winter"
42119,Bucephala islandica,BarrowS Goldeneye,Present,Native,Common,"Migratory, Winter"
42120,Chen caerulescens,Snow Goose,Present,Native,Occasional,Migratory
42121,Chen rossii,Ross' Goose,Present,Native,Occasional,Vagrant
42122,Clangula hyemalis,Long-Tailed Duck,Present,Native,Rare,Winter
42123,Cygnus buccinator,Trumpeter Swan,Present,Native,Occasional,Vagrant
42124,Cygnus columbianus,Tundra Swan,Present,Native,Occasional,Vagrant
42125,Histrionicus histrionicus,Harlequin Duck,Present,Native,Occasional,Vagrant
42126,Lophodytes cucullatus,Hooded Merganser,Present,Native,Uncommon,Winter
42127,Melanitta fusca,"White-Winged Scoter, Velvet Scoter",Present,Native,Occasional,Vagrant
42128,Melanitta perspicillata,Surf Scoter,Present,Native,Occasional,Vagrant
42129,Mergus merganser,Common Merganser,Present,Native,Common,Resident
42130,Mergus serrator,Red-Breasted Merganser,Present,Native,Occasional,Vagrant
42131,Oxyura jamaicensis,Ruddy Duck,Present,Native,Rare,Winter
42132,Aeronautes saxatalis,White-Throated Swift,Present,Native,Common,Breeder
42133,Aeronautes saxatalis saxatalis,White-Throated Swift,Present,Native,Common,Breeder
42134,Chaetura vauxi,Vaux's Swift,Present,Native,Occasional,Vagrant
42135,Archilochus alexandri,Black-Chinned Hummingbird,Present,Native,Common,Breeder
42136,Calypte anna,Anna's Hummingbird,Present,Native,Occasional,"Summer, Vagrant"
42137,Calypte costae,CostaS Hummingbird,Present,Native,Common,"Breeder, Resident, Summer"
42138,Eugenes fulgens,Magnificent Hummingbird,Present,Native,Rare,"Resident, Summer"
42139,Selasphorus platycercus,Broad-Tailed Hummingbird,Present,Native,Common,Breeder
42140,Selasphorus rufus,Rufous Hummingbird,Present,Native,Common,Migratory
42141,Stellula calliope,Calliope Hummingbird,Present,Native,Uncommon,Migratory
42142,Caprimulgus vociferus arizonae,Mexican Whip-Poor-Will,Present,Native,Rare,Breeder
42143,Chordeiles acutipennis,Lesser Nighthawk,Present,Native,Rare,Breeder
42144,Chordeiles minor,Common Nighthawk,Present,Native,Common,Breeder
42145,Chordeiles minor henryi,Common Nighthawk,Present,Native,Common,Breeder
42146,Phalaenoptilus nuttallii,Common Poorwill,Present,Native,Common,Breeder
42147,Phalaenoptilus nuttallii nuttallii,Common Poorwill,Present,Native,Common,Breeder
42148,Charadrius nivosus,Snowy Plover,Present,Native,Occasional,Vagrant
42149,Charadrius semipalmatus,Semipalmated Plover,Present,Native,Occasional,Vagrant
42150,Charadrius vociferus,Killdeer,Present,Native,Uncommon,Breeder
42151,Chlidonias niger,Black Tern,Present,Native,Occasional,Vagrant
42152,Chroicocephalus philadelphia,Bonaparte's Gull,Present,Native,Occasional,"Migratory, Vagrant"
42153,Hydroprogne caspia,Caspian Tern,Present,Native,Occasional,Vagrant
42154,Larus argentatus,"European Herring Gull, Herring Gull",Present,Native,Occasional,Vagrant
42155,Larus californicus,California Gull,Present,Native,Occasional,Vagrant
42156,Larus delawarensis,Ring-Billed Gull,Present,Native,Rare,Vagrant
42157,Larus pipixcan,Franklin's Gull,Present,Native,Occasional,Vagrant
42158,Sterna forsteri,Forster's Tern,Present,Native,Occasional,Vagrant
42159,Sterna hirundo,Common Tern,Present,Native,Occasional,Vagrant
42160,Xema sabini,Sabine's Gull,Present,Native,Occasional,Vagrant
42161,Himantopus mexicanus,Black-Necked Stilt,Present,Native,Rare,Migratory
42162,Recurvirostra americana,American Avocet,Present,Native,Uncommon,Migratory
42163,Actitis macularius,Spotted Sandpiper,Present,Native,Common,"Breeder, Winter"
42164,Calidris alba,Sanderling,Present,Native,Occasional,Vagrant
42165,Calidris alpina,Dunlin,Present,Native,Occasional,Vagrant
42166,Calidris bairdii,Baird's Sandpiper,Present,Native,Occasional,Vagrant
42167,Calidris mauri,Western Sandpiper,Present,Native,Occasional,Migratory
42168,Calidris melanotos,Pectoral Sandpiper,Present,Native,Occasional,Vagrant
42169,Calidris minutilla,Least Sandpiper,Present,Native,Occasional,Migratory
42170,Calidris pusilla,Semipalmated Sandpiper,Not Present (False Report),Unknown,No Data,No Data
42171,Gallinago delicata,"Wilson's Snipe, Common Snipe",Present,Native,Uncommon,Migratory
42172,Gallinago gallinago,Common Snipe,Present,Native,Uncommon,"Migratory, Winter"
42173,Limnodromus scolopaceus,Long-Billed Dowitcher,Present,Native,Occasional,Vagrant
42174,Limosa fedoa,Marbled Godwit,Present,Native,Occasional,Migratory
42175,Numenius americanus,Long-Billed Curlew,Present,Native,Occasional,Vagrant
42176,Phalaropus lobatus,Red-Necked Phalarope,Present,Native,Rare,Migratory
42177,Phalaropus tricolor,Wilson's Phalarope,Present,Native,Rare,Migratory
42178,Tringa flavipes,Lesser Yellowlegs,Present,Native,Occasional,Vagrant
42179,Tringa melanoleuca,Greater Yellowlegs,Present,Native,Occasional,Vagrant
42180,Tringa semipalmata,Willet,Present,Native,Rare,Migratory
42181,Tringa solitaria,Solitary Sandpiper,Present,Native,Uncommon,Migratory
42182,Tringa solitaria cinnamomea,Solitary Sandpiper,Present,Native,Occasional,Migratory
42183,Stercorarius,Jaegers,Present,Native,Occasional,Vagrant
42184,Mycteria americana,Wood Stork,Present,Native,Occasional,Vagrant
42185,Columba livia,"Rock Pigeon, Rock Dove",Present,Native,Uncommon,Migratory
42186,Columbina inca,Inca Dove,Present,Native,Occasional,Vagrant
42187,Columbina passerina,"Common Ground Dove, Common Ground-Dove",Present,Native,Occasional,Vagrant
42188,Patagioenas fasciata,Band-Tailed Pigeon,Present,Native,Uncommon,Breeder
42189,Patagioenas fasciata fasciata,Band-Tailed Pigeon,Present,Native,Uncommon,Breeder
42190,Streptopelia decaocto,Eurasian Collared-Dove,Present,Not Native,Common,Breeder
42191,Zenaida asiatica,White-Winged Dove,Present,Native,Occasional,Migratory
42192,Zenaida macroura,Mourning Dove,Present,Native,Common,Breeder
42193,Zenaida macroura marginella,Mourning Dove,Present,Native,Common,Breeder
42194,Megaceryle alcyon,Belted Kingfisher,Present,Native,Uncommon,Migratory
42195,Coccyzus americanus,Yellow-Billed Cuckoo,Present,Native,Occasional,Breeder
42196,Crotophaga sulcirostris,Groove-Billed Ani,Present,Native,Occasional,Vagrant
42197,Geococcyx californianus,Greater Roadrunner,Present,Native,Uncommon,Breeder
42198,Falco columbarius,Merlin,Present,Native,Rare,"Migratory, Winter"
42199,Falco columbarius columbarius,Merlin,Present,Native,Occasional,"Migratory, Winter"
42200,Falco mexicanus,Prairie Falcon,Present,Native,Rare,Breeder
42201,Falco peregrinus,Peregrine Falcon,Present,Native,Common,"Breeder, Winter"
42202,Falco peregrinus anatum,American Peregrine Falcon,Present,Native,Common,"Breeder, Winter"
42203,Falco sparverius,American Kestrel,Present,Native,Common,Breeder
42204,Falco sparverius sparverius,American Kestrel,Present,Native,Common,Breeder
42205,Callipepla gambelii,Gambel's Quail,Present,Native,Common,Breeder
42206,Alectoris chukar,"Chukar, Chukar Partridge",Present,Not Native,Uncommon,Breeder
42207,Centrocercus urophasianus,"Greater Sage Grouse, Greater Sage-Grouse, Sage Grouse",Present,Native,Occasional,Vagrant
42208,Dendragapus obscurus,"Dusky Grouse, Blue Grouse",Present,Native,Uncommon,"Breeder, Winter"
42209,Dendragapus obscurus obscurus,Blue Grouse,Present,Native,Uncommon,"Breeder, Winter"
42210,Meleagris gallopavo,Wild Turkey,Present,Native,Common,Breeder
42211,Gavia immer,"Common Loon, Great Northern Diver, Great Northern Loon",Present,Native,Rare,Vagrant
42212,Gavia pacifica,"Pacific Diver, Pacific Loon",Present,Native,Occasional,Vagrant
42213,Grus canadensis,Sandhill Crane,Present,Native,Occasional,Vagrant
42214,Fulica americana,American Coot,Present,Native,Common,"Breeder, Winter"
42215,Gallinula galeata,Common Gallinule,Present,Native,Occasional,Migratory
42216,Porzana carolina,Sora,Present,Native,Rare,Winter
42217,Rallus limicola,Virginia Rail,Present,Native,Rare,Winter
42218,Rallus longirostris,Clapper Rail,Present,Native,Occasional,Summer
42219,Rallus longirostris yumanensis,Yuma Clapper Rail,Present,Native,Occasional,Summer
42220,Psaltriparus minimus,Bushtit,Present,Native,Common,"Breeder, Winter"
42221,Psaltriparus minimus plumbeus,Bushtit,Present,Native,Common,"Breeder, Winter"
42222,Eremophila alpestris,Horned Lark,Present,Native,Common,Breeder
42223,Eremophila alpestris enthymia,Horned Lark,Present,Native,Common,Breeder
42224,Eremophila alpestris leucolaema,Horned Lark,Present,Native,Common,Breeder
42225,Eremophila alpestris occidentalis,Horned Lark,Present,Native,Common,Breeder
42226,Bombycilla cedrorum,Cedar Waxwing,Present,Native,Uncommon,Migratory
42227,Bombycilla garrulus,Bohemian Waxwing,Present,Native,Occasional,Vagrant
42228,Passerina amoena,Lazuli Bunting,Present,Native,Common,Breeder
42229,Passerina caerulea,Blue Grosbeak,Present,Native,Common,Breeder
42230,Passerina caerulea interfusa,Blue Grosbeak,Present,Native,Common,Breeder
42231,Passerina ciris,Painted Bunting,Present,Native,Occasional,Vagrant
42232,Passerina cyanea,Indigo Bunting,Present,Native,Rare,Breeder
42233,Pheucticus ludovicianus,Rose-Breasted Grosbeak,Present,Native,Rare,Migratory
42234,Pheucticus melanocephalus,Black-Headed Grosbeak,Present,Native,Common,Breeder
42235,Pheucticus melanocephalus melanocephalus,Black-Headed Grosbeak,Present,Native,Common,Breeder
42236,Piranga flava,Hepatic Tanager,Present,Native,Uncommon,Breeder
42237,Piranga ludoviciana,Western Tanager,Present,Native,Common,Breeder
42238,Piranga olivacea,Scarlet Tanager,Present,Native,Occasional,Vagrant
42239,Piranga rubra,Summer Tanager,Present,Native,Uncommon,Breeder
42240,Spiza americana,Dickcissel,Present,Native,Occasional,Migratory
42241,Certhia americana,Brown Creeper,Present,Native,Common,Breeder
42242,Certhia americana montana,Brown Creeper,Present,Native,Common,"Breeder, Winter"
42243,Cinclus mexicanus,American Dipper,Present,Native,Common,"Breeder, Winter"
42244,Cinclus mexicanus unicolor,American Dipper,Present,Native,Common,"Breeder, Winter"
42245,Aphelocoma californica,"Western Scrub Jay, Scrub Jay",Present,Native,Common,Breeder
42246,Corvus brachyrhynchos,American Crow,Present,Native,Rare,Breeder
42247,Corvus corax,Common Raven,Present,Native,Abundant,"Breeder, Winter"
42248,Cyanocitta cristata,Blue Jay,Present,Native,Occasional,Vagrant
42249,Cyanocitta stelleri,StellerS Jay,Present,Native,Common,"Breeder, Winter"
42250,Gymnorhinus cyanocephalus,Pinyon Jay,Present,Native,Abundant,Breeder
42251,Nucifraga columbiana,Clark's Nutcracker,Present,Native,Common,Breeder
42252,Pica hudsonia,Black-Billed Magpie,Present,Native,Occasional,Migratory
42253,Aimophila ruficeps,Rufous-Crowned Sparrow,Present,Native,Uncommon,Breeder
42254,Aimophila ruficeps scottii,Rufous-Crowned Sparrow,Present,Native,Uncommon,Breeder
42255,Ammodramus savannarum,Grasshopper Sparrow,Present,Native,Occasional,Vagrant
42256,Ammodramus savannarum perpallidus,Grasshopper Sparrow,Present,Native,Occasional,Vagrant
42257,Amphispiza bilineata,Black-Throated Sparrow,Present,Native,Common,Breeder
42258,Amphispiza bilineata deserticola,Black-Throated Sparrow,Present,Native,Common,"Breeder, Winter"
42259,Artemisiospiza belli,Sage Sparrow,Present,Native,Uncommon,"Breeder, Winter"
42260,Artemisiospiza nevadensis,Sage Sparrow,Present,Native,Uncommon,"Breeder, Winter"
42261,Calamospiza melanocorys,Lark Bunting,Present,Native,Occasional,Vagrant
42262,Chondestes grammacus,Lark Sparrow,Present,Native,Common,Breeder
42263,Chondestes grammacus strigatus,Lark Sparrow,Present,Native,Common,Breeder
42264,Junco hyemalis,Dark-Eyed Junco,Present,Native,Common,Breeder
42265,Junco hyemalis caniceps,Dark-Eyed Junco (Gray-Headed Race),Present,Native,Common,"Breeder, Winter"
42266,Junco hyemalis cismontanus,Dark-Eyed Junco (Cassiar),Present,Native,No Data,No Data
42267,Junco hyemalis dorsalis,Dark-Eyed Junco (Red-Backed),Present,Native,No Data,No Data
42268,Junco hyemalis hyemalis,Dark-Eyed Junco (Slate-Colored Race),Present,Native,Uncommon,Winter
42269,Junco hyemalis mearnsi,Dark-Eyed Junco (Pink-Sided Race),Present,Native,Common,"Migratory, Winter"
42270,Junco hyemalis shufeldti,Dark-Eyed Junco (Oregon Race),Present,Native,Common,"Migratory, Winter"
42271,Junco hyemalis thurberi,Dark-Eyed Junco (Oregon Race),Present,Native,Common,"Migratory, Winter"
42272,Melospiza georgiana,Swamp Sparrow,Present,Native,Rare,"Resident, Winter"
42273,Melospiza lincolnii,Lincoln's Sparrow,Present,Native,Uncommon,"Breeder, Winter"
42274,Melospiza lincolnii lincolnii,Lincoln's Sparrow,Present,Native,Uncommon,"Breeder, Winter"
42275,Melospiza melodia,Song Sparrow,Present,Native,Common,"Breeder, Winter"
42276,Melospiza melodia montana,Song Sparrow,Present,Native,Common,"Breeder, Winter"
42277,Melozone fusca,Canyon Towhee,Present,Native,Uncommon,Breeder
42278,Passerculus sandwichensis,Savannah Sparrow,Present,Native,Uncommon,Migratory
42279,Passerculus sandwichensis nevadensis,Savannah Sparrow,Present,Native,Uncommon,Migratory
42280,Passerella iliaca,Fox Sparrow,Present,Native,Occasional,Migratory
42281,Peucaea cassinii,Cassin's Sparrow,Not Present,Native,No Data,Vagrant
42282,Pipilo chlorurus,Green-Tailed Towhee,Present,Native,Common,Breeder
42283,Pipilo maculatus,Spotted Towhee,Present,Native,Common,Breeder
42284,Pipilo maculatus montanus,Spotted Towhee,Present,Native,Common,Breeder
42285,Pooecetes gramineus,Vesper Sparrow,Present,Native,Uncommon,Breeder
42286,Pooecetes gramineus confinis,Vesper Sparrow,Present,Native,Uncommon,Breeder
42287,Spizella arborea,American Tree Sparrow,Present,Native,Occasional,Vagrant
42288,Spizella atrogularis,Black-Chinned Sparrow,Present,Native,Common,Breeder
42289,Spizella breweri,Brewer's Sparrow,Present,Native,Common,Breeder
42290,Spizella pallida,Clay-Colored Sparrow,Present,Native,Occasional,Vagrant
42291,Spizella passerina,Chipping Sparrow,Present,Native,Common,"Breeder, Winter"
42292,Spizella passerina arizonae,Chipping Sparrow,Present,Native,Common,"Breeder, Winter"
42293,Zonotrichia albicollis,White-Throated Sparrow,Present,Native,Rare,"Resident, Winter"
42294,Zonotrichia atricapilla,Golden-Crowned Sparrow,Present,Native,Rare,Winter
42295,Zonotrichia leucophrys,White-Crowned Sparrow,Present,Native,Common,"Breeder, Winter"
42296,Zonotrichia leucophrys gambelii,White-Crowned Sparrow,Present,Native,Common,"Breeder, Winter"
42297,Zonotrichia leucophrys oriantha,White-Crowned Sparrow,Present,Native,Common,"Breeder, Winter"
42298,Zonotrichia querula,"Harris' Sparrow, Harris's Sparrow",Present,Native,Occasional,Vagrant
42299,Acanthis flammea,Common Redpoll,Present,Native,Occasional,Vagrant
42300,Haemorhous cassinii,Cassin's Finch,Present,Native,Common,"Breeder, Winter"
42301,Haemorhous mexicanus,House Finch,Present,Native,Common,"Breeder, Winter"
42302,Haemorhous mexicanus frontalis,House Finch,Present,Native,Common,"Breeder, Winter"
42303,Haemorhous purpureus,Purple Finch,Present,Native,Occasional,Vagrant
42304,Haemorhous purpureus californicus,Purple Finch,Present,Native,Occasional,Vagrant
42305,Hesperiphona vespertina,Evening Grosbeak,Present,Native,Occasional,Breeder
42306,Hesperiphona vespertina brooksi,Evening Grosbeak,Present,Native,Occasional,Breeder
42307,Hesperiphona vespertina montana,Evening Grosbeak,Present,Native,Occasional,Breeder
42308,Leucosticte atrata,"Black Rosy-Finch, Rosy-Finch",Present,Native,Occasional,Migratory
42309,Loxia curvirostra,Red Crossbill,Present,Native,Occasional,Breeder
42310,Loxia curvirostra bendirei,Red Crossbill,Present,Native,Occasional,Breeder
42311,Loxia curvirostra grinnelli,Red Crossbill,Present,Native,Occasional,Breeder
42312,Loxia curvirostra stricklandi,Red Crossbill,Present,Native,Occasional,Breeder
42313,Loxia leucoptera,"Two-Barred Crossbill, White-Winged Crossbill",Present,Native,Occasional,Vagrant
42314,Pinicola enucleator,Pine Siskin,Present,Native,Occasional,"Resident, Winter"
42315,Pinicola enucleator montana,Pine Grosbeak,Present,Native,Occasional,Winter
42316,Spinus lawrencei,LawrenceS Goldfinch,Present,Native,Occasional,Vagrant
42317,Spinus pinus,Pine Siskin,Present,Native,Common,Breeder
42318,Spinus pinus pinus,Pine Siskin,Present,Native,Common,Breeder
42319,Spinus psaltria,Lesser Goldfinch,Present,Native,Common,Breeder
42320,Spinus psaltria hesperophilus,Lesser Goldfinch,Present,Native,Common,Breeder
42321,Spinus tristis,American Goldfinch,Present,Native,Uncommon,Migratory
42322,Hirundo rustica,Barn Swallow,Present,Native,Uncommon,Migratory
42323,Petrochelidon pyrrhonota,Cliff Swallow,Present,Native,Rare,Breeder
42324,Progne subis,Purple Martin,Present,Native,Occasional,Resident
42325,Riparia riparia,Bank Swallow,Present,Native,Rare,Migratory
42326,Stelgidopteryx serripennis,Northern Rough-Winged Swallow,Present,Native,Rare,Breeder
42327,Tachycineta bicolor,Tree Swallow,Present,Native,Rare,Breeder
42328,Tachycineta thalassina,Violet-Green Swallow,Present,Native,Common,Breeder
42329,Tachycineta thalassina thalassina,Violet-Green Swallow,Present,Native,Common,Breeder
42330,Agelaius phoeniceus,Red-Winged Blackbird,Present,Native,Occasional,"Breeder, Winter"
42331,Dolichonyx oryzivorus,Bobolink,Present,Native,Occasional,Vagrant
42332,Euphagus carolinus,Rusty Blackbird,Present,Native,Occasional,Vagrant
42333,Euphagus cyanocephalus,Brewer's Blackbird,Present,Native,Common,Breeder
42334,Icterus bullockii,"Bullock's Oriole, Northern Oriole",Present,Native,Uncommon,Breeder
42335,Icterus cucullatus,Hooded Oriole,Present,Native,Common,Breeder
42336,Icterus galbula,"Northern Oriole, Baltimore Oriole",Present,Native,Occasional,Vagrant
42337,Icterus parisorum,Scott's Oriole,Present,Native,Common,Breeder
42338,Icterus pustulatus,Streak-Backed Oriole,Present,Native,Occasional,Vagrant
42339,Icterus spurius,Orchard Oriole,Present,Native,Occasional,Vagrant
42340,Molothrus aeneus,Bronzed Cowbird,Present,Native,Occasional,Vagrant
42341,Molothrus ater,Brown-Headed Cowbird,Present,Not Native,Common,"Breeder, Winter"
42342,Molothrus ater obscurus,Brown-Headed Cowbird,Present,Not Native,Common,"Breeder, Winter"
42343,Quiscalus mexicanus,Great-Tailed Grackle,Present,Unknown,Common,Breeder
42344,Quiscalus quiscula,Common Grackle,Present,Native,Occasional,Vagrant
42345,Sturnella magna,Eastern Meadowlark,Present,Native,Uncommon,Breeder
42346,Sturnella neglecta,Western Meadowlark,Present,Native,Common,Breeder
42347,Xanthocephalus xanthocephalus,Yellow-Headed Blackbird,Present,Native,Uncommon,Migratory
42348,Lanius excubitor,"Great Grey Shrike, Northern Shrike",Present,Native,Occasional,Vagrant
42349,Lanius ludovicianus,Loggerhead Shrike,Present,Native,Uncommon,Breeder
42350,Lanius ludovicianus excubitorides,Loggerhead Shrike,Present,Native,Uncommon,Breeder
42351,Dumetella carolinensis,"Gray Catbird, Grey Catbird",Present,Native,Occasional,Vagrant
42352,Mimus polyglottos,Northern Mockingbird,Present,Native,Uncommon,"Breeder, Winter"
42353,Oreoscoptes montanus,Sage Thrasher,Present,Native,Uncommon,"Breeder, Winter"
42354,Toxostoma bendirei,"Bendire's Thrasher, Cuitlacoche Pico Corto",Present,Native,Uncommon,Breeder
42355,Toxostoma crissale,Crissal Thrasher,Present,Native,Uncommon,Breeder
42356,Toxostoma curvirostre,Curve-Billed Thrasher,Not Present,Native,No Data,Vagrant
42357,Toxostoma lecontei,Le Conte's Thrasher,Not Present (False Report),Unknown,No Data,No Data
42358,Toxostoma rufum,Brown Thrasher,Present,Native,Occasional,Vagrant
42359,Anthus rubescens,American Pipit,Present,Native,Uncommon,"Migratory, Winter"
42360,Motacilla alba,White Wagtail,Present,Unknown,Occasional,Vagrant
42361,Baeolophus ridgwayi,"Juniper Titmouse, Plain Titmouse",Present,Native,Common,Breeder
42362,Baeolophus ridgwayi ridgwayi,Juniper Titmouse,Present,Native,Common,Breeder
42363,Baeolophus wollweberi,Bridled Titmouse,Present,Native,Occasional,Vagrant
42364,Poecile gambeli,Mountain Chickadee,Present,Native,Abundant,"Breeder, Winter"
42365,Cardellina pusilla,Wilson's Warbler,Present,Native,Common,Migratory
42366,Cardellina pusilla chryseola,Wilson's Warbler,Present,Native,Common,Migratory
42367,Cardellina pusilla pusilla,Wilson's Warbler,Present,Native,Common,Migratory
42368,Cardellina rubrifrons,Red-Faced Warbler,Present,Native,Uncommon,Summer
42369,Geothlypis formosa,Kentucky Warbler,Present,Native,Occasional,Vagrant
42370,Geothlypis tolmiei,Macgillivray's Warbler,Present,Native,Rare,Breeder
42371,Geothlypis trichas,Common Yellowthroat,Present,Native,Common,"Breeder, Winter"
42372,Geothlypis trichas campicola,Common Yellowthroat,Present,Native,Common,"Breeder, Winter"
42373,Helmitheros vermivorum,Worm-Eating Warbler,Present,Native,Occasional,Vagrant
42374,Icteria virens,Yellow-Breasted Chat,Present,Native,Common,Breeder
42375,Leiothlypis celata,Orange-Crowned Warbler,Present,Native,Uncommon,"Migratory, Winter"
42376,Leiothlypis celata orestera,None,Present,Native,Uncommon,"Migratory, Winter"
42377,Leiothlypis luciae,LucyS Warbler,Present,Native,Common,Breeder
42378,Leiothlypis ruficapilla,Nashville Warbler,Present,Native,Common,Migratory
42379,Mniotilta varia,Black-And-White Warbler,Present,Native,Occasional,Vagrant
42380,Myioborus pictus,"Painted Redstart, Painted Whitestart",Present,Native,Occasional,"Summer, Vagrant"
42381,Oreothlypis peregrina,Tennessee Warbler,Present,Native,Occasional,Vagrant
42382,Oreothlypis virginiae,Virginia's Warbler,Present,Native,Common,Breeder
42383,Parkesia noveboracensis,Northern Waterthrush,Present,Native,Rare,Migratory
42384,Protonotaria citrea,Prothonotary Warbler,Present,Native,Occasional,Vagrant
42385,Seiurus aurocapilla,Ovenbird,Present,Native,Occasional,Migratory
42386,Setophaga aestiva,American Yellow Warbler,Present,Native,Common,Breeder
42387,Setophaga aestiva morcomi,Yellow Warbler,Present,Native,Common,Breeder
42388,Setophaga americana,Northern Parula,Present,Native,Occasional,Vagrant
42389,Setophaga auduboni auduboni,Yellow-Rumped Warbler,Present,Native,Common,"Breeder, Winter"
42390,Setophaga caerulescens,Black-Throated Blue Warbler,Present,Native,Occasional,Vagrant
42391,Setophaga castanea,Bay-Breasted Warbler,Present,Native,Occasional,Vagrant
42392,Setophaga citrina,Hooded Warbler,Present,Native,Occasional,Vagrant
42393,Setophaga coronata,Yellow-Rumped Warbler,Present,Native,Common,"Breeder, Winter"
42394,Setophaga discolor,Prairie Warbler,Present,Native,Occasional,Vagrant
42395,Setophaga dominica,Yellow-Throated Warbler,Present,Native,Occasional,Vagrant
42396,Setophaga graciae,GraceS Warbler,Present,Native,Common,"Breeder, Resident, Summer"
42397,Setophaga magnolia,Magnolia Warbler,Present,Native,Occasional,Vagrant
42398,Setophaga nigrescens,Black-Throated Gray Warbler,Present,Native,Common,"Breeder, Resident, Migratory, Summer"
42399,Setophaga nigrescens halseii,Black-Throated Gray Warbler,Present,Native,Common,Breeder
42400,Setophaga occidentalis,Hermit Warbler,Present,Native,Rare,Migratory
42401,Setophaga palmarum,Palm Warbler,Present,Native,Occasional,Vagrant
42402,Setophaga pensylvanica,Chestnut-Sided Warbler,Present,Native,Occasional,Vagrant
42403,Setophaga petechia,"Mangrove Warbler, Yellow Warbler",Present,Native,Common,Breeder
42404,Setophaga ruticilla,American Redstart,Present,Native,Occasional,Vagrant
42405,Setophaga striata,Blackpoll Warbler,Present,Native,Occasional,Vagrant
42406,Setophaga townsendi,TownsendS Warbler,Present,Native,Occasional,Migratory
42407,Setophaga virens,Black-Throated Green Warbler,Present,Native,Occasional,Vagrant
42408,Vermivora chrysoptera,Golden-Winged Warbler,Present,Native,Occasional,Vagrant
42409,Passer domesticus,House Sparrow,Present,Native,Common,Breeder
42410,Peucedramus taeniatus,Olive Warbler,Present,Native,Occasional,Vagrant
42411,Polioptila caerulea,Blue-Gray Gnatcatcher,Present,Native,Common,"Breeder, Resident, Summer, Winter"
42412,Polioptila caerulea amoenissima,Blue-Gray Gnatcatcher,Present,Native,Common,"Breeder, Winter"
42413,Polioptila caerulea obscura,Blue-Gray Gnatcatcher,Present,Native,Common,Breeder
42414,Polioptila melanura,Black-Tailed Gnatcatcher,Present,Native,Uncommon,Breeder
42415,Phainopepla nitens,Phainopepla,Present,Native,Uncommon,"Breeder, Winter"
42416,Regulus calendula,Ruby-Crowned Kinglet,Present,Native,Common,"Breeder, Winter"
